,Geschlecht,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,pl1,pl2,pl3,pl4,pl5,pl6,pl7,pl8,pl9,pl10,pl11,pl12,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12
15,1,5,2,6,5,5,2,5,5,3,5,2,5,1,1,5,1,1,1,2,3,5,2,3,3,5,1,1,1,6,5,1,2,2,5,2,2
16,1,5,2,5,6,5,1,6,2,3,5,3,5,3,3,3,2,2,3,2,4,4,2,3,5,3,2,2,3,4,5,2,2,2,4,4,2
17,1,5,2,6,6,4,2,4,6,2,5,3,5,1,1,6,1,1,3,3,2,6,2,2,5,1,1,1,1,5,5,2,2,2,3,2,2
18,1,5,5,5,2,5,5,4,4,2,4,3,4,4,2,4,4,4,3,3,3,3,3,3,3,3,5,4,6,5,2,2,4,2,4,4,5
19,2,5,3,5,3,3,3,2,4,3,4,2,3,3,2,4,2,2,2,1,2,2,2,2,3,2,2,2,2,5,5,2,3,2,3,3,3
20,1,3,4,4,2,3,2,2,2,2,6,3,4,3,2,5,2,3,2,3,2,5,3,3,5,2,3,1,3,3,4,2,2,2,3,2,3
21,1,5,1,5,4,5,2,5,4,2,5,3,6,3,3,4,4,3,5,3,2,6,3,4,4,2,1,2,2,3,4,4,3,2,2,3,2
22,2,6,2,5,3,6,3,4,5,3,5,3,5,1,2,5,2,3,2,3,2,2,3,2,3,5,1,1,1,6,6,2,1,2,5,2,2
23,2,5,2,5,3,2,3,5,3,3,5,3,5,3,3,5,3,3,3,2,4,3,2,2,4,3,3,2,4,3,3,2,3,2,2,3,3
24,1,3,2,5,3,5,1,5,2,3,6,3,3,3,1,5,3,3,4,1,5,4,5,3,5,5,1,1,2,5,6,3,3,1,3,2,2
25,2,3,6,3,3,2,5,1,2,3,5,6,1,1,1,4,5,5,3,2,1,5,1,1,6,5,4,1,1,5,4,3,4,3,2,5,1
26,1,5,1,5,5,5,2,3,4,3,5,1,6,1,3,3,2,3,3,2,3,4,2,2,5,1,2,2,1,2,4,2,2,1,5,4,4
27,2,6,2,6,5,5,2,5,5,2,5,2,5,1,4,5,2,1,1,1,2,5,2,3,5,5,2,2,2,4,6,2,2,2,4,2,2
28,1,4,4,4,3,3,3,2,3,3,3,3,3,2,3,4,2,3,1,2,1,3,2,2,3,4,3,2,3,4,3,3,2,1,2,4,3
29,1,5,3,4,4,2,3,4,3,3,5,2,3,2,2,3,2,4,1,1,2,3,1,2,4,5,2,1,2,5,4,2,2,1,3,2,2
30,1,5,5,5,3,3,2,2,3,2,4,2,2,3,2,4,2,3,2,2,2,4,3,3,4,5,2,1,3,5,5,5,2,3,2,4,3
31,1,4,5,4,2,1,3,1,4,3,4,3,3,3,3,5,3,3,1,2,3,6,3,3,5,3,4,5,3,3,3,3,3,1,2,5,2
32,2,4,5,5,3,2,3,3,4,3,6,4,3,3,2,5,3,1,1,2,3,4,3,2,4,4,3,2,3,5,4,4,4,1,3,5,4
33,1,4,4,5,3,3,3,4,3,1,6,3,4,1,3,4,2,3,2,2,4,5,2,1,5,2,1,1,2,5,3,3,3,1,3,4,1
34,1,6,5,6,6,5,3,5,6,3,5,2,6,2,5,5,1,2,1,2,2,3,1,3,5,4,3,3,3,5,4,2,3,1,4,4,3
35,1,5,3,5,4,5,2,5,2,3,6,2,5,1,3,4,1,3,1,2,2,5,1,1,6,3,1,1,3,5,5,2,3,2,3,3,2
36,2,6,3,6,2,6,3,5,6,3,6,3,5,2,2,6,2,1,2,3,1,5,1,2,3,3,1,1,2,5,6,2,2,1,5,3,5
37,1,5,2,6,6,5,2,4,2,3,5,3,5,1,2,4,1,2,1,1,2,4,2,2,5,2,3,1,2,5,4,3,2,1,2,1,3
38,1,5,5,5,5,5,2,5,5,2,5,3,5,1,1,5,1,1,1,2,3,5,1,2,5,2,2,1,3,5,5,2,3,2,3,2,3
39,1,6,1,6,6,5,1,6,5,1,6,2,6,6,5,4,1,1,1,2,2,6,1,1,5,3,2,3,1,4,4,1,3,1,3,3,2
40,2,5,4,5,3,5,3,5,3,2,5,3,5,2,3,4,3,2,3,2,2,6,2,2,5,2,2,2,5,5,4,2,4,3,4,5,3
41,1,3,5,4,3,3,1,3,3,2,6,3,3,3,2,4,1,3,1,1,1,2,2,2,3,2,3,3,2,4,4,3,3,2,3,4,2
42,2,3,2,4,4,4,3,4,5,3,5,5,3,1,2,4,2,2,1,3,1,5,3,2,5,5,4,3,3,5,3,3,3,4,2,4,3
